name|link|info|price
Huawei FreeBuds Pro (керамический белый)|https://shop.mts.by//accessories/audio/naushniki-huawei-freebuds-pro-keramicheskiy-belyy/|Режим усиленного шумоподавления.Длительная работа батареи.Проводная и беспроводная зарядка.|от33руб./мес.от579руб.
Huawei FreeBuds 4i (черный)|https://shop.mts.by//accessories/audio/huawei-freebuds-4i-black/|Минималистичный дизайн, эргономичная форма вкладышей.10 часов непрерывного воспроизведения.Мощный и чистый звук на средних и высоких частотах.|от15руб./мес.от279руб.
Huawei FreeBuds 4i (белый)|https://shop.mts.by//accessories/audio/huawei-freebuds-4i-white/|Минималистичный дизайн, эргономичная форма вкладышей.10 часов непрерывного воспроизведения.Мощный и чистый звук на средних и высоких частотах.|от15руб./мес.от279руб.
Apple AirPods Pro|https://shop.mts.by//accessories/audio/apple-airpods-headphones-pro/|"С активным шумоподавлением и ""открытым режимом"" для прослушивания окружающего звука.Защита от пота и воды (IPX4).Футляр можно заряжать по беспроводной технологии Qi или через разъём Lightning."|от45руб./мес.от899руб.
Apple AirPods 2 with Charging Case|https://shop.mts.by//accessories/audio/earphone-original-apple-airpods-2g-normal-case/|Увеличенное время работы в режиме телефонного разговора.Активация Siri с помощью голоса.|от29руб./мес.от589руб.
Apple AirPods 3|https://shop.mts.by//accessories/audio/apple-airpods-3/||от37.3руб./мес.от789руб.
Huawei FreeBuds 4 (мерцающий серебристый)|https://shop.mts.by//accessories/audio/huawei-freebuds-4-silver/||от24руб./мес.от479руб.
Honor Earbuds 2 Lite (ледяной белый)|https://shop.mts.by//accessories/audio/honor-earbuds-2-lite-white/||от10руб./мес.от179руб.
JBL Tune 120 TWS (черный)|https://shop.mts.by//accessories/audio/naushniki-besprovodnye-jbl-tune-120-tws-chernyy/|Оснащены понятными и удобными элементами управления.Мощный звук с технологией JBL Pure Bass.|от9руб./мес.от139руб.
